neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_log
1,108,40.647490000000005,-73.97237,1,1,9,0.21,6,365,5.0106352940962555
2,127,40.75362,-73.98376999999999,0,1,45,0.38,2,355,5.420534999272286
2,94,40.809020000000004,-73.9419,1,3,0,1.3732214298586618,1,365,5.017279836814924
1,41,40.685140000000004,-73.95976,0,1,270,4.64,1,194,4.499809670330265
2,61,40.79851,-73.94399,0,10,9,0.1,1,0,4.394449154672439
2,137,40.74767,-73.975,0,3,74,0.59,1,129,5.303304908059076
2,95,40.76489,-73.98493,1,2,430,3.47,1,220,4.382026634673881
2,202,40.80178,-73.96723,1,2,118,0.99,1,0,4.382026634673881
2,35,40.713440000000006,-73.99037,0,1,160,1.33,4,188,5.017279836814924
2,202,40.80316,-73.96545,0,5,53,0.43,1,6,4.912654885736052
2,95,40.76076,-73.98867,1,2,188,1.5,1,39,4.454347296253507
1,182,40.66829,-73.98779,1,4,167,1.34,3,314,4.499809670330265
2,202,40.79826,-73.96113000000001,1,2,113,0.91,1,333,4.454347296253507
1,214,40.70837,-73.95352,0,2,148,1.2,1,46,4.948759890378168
1,80,40.69169,-73.97185,0,2,198,1.72,1,321,5.375278407684165
2,34,40.74192,-73.99501,1,1,260,2.12,1,12,4.948759890378168
1,51,40.67592,-73.94694,0,3,53,4.44,1,21,4.605170185988092
2,61,40.79685,-73.94872,0,7,0,1.3732214298586618,2,249,5.25227342804663
1,214,40.71842,-73.95718000000001,0,3,9,0.07,1,0,5.703782474656201
1,151,40.680690000000006,-73.97706,1,2,130,1.09,6,347,4.875197323201151
1,151,40.67989,-73.97798,1,1,39,0.37,6,364,4.394449154672439
1,151,40.680009999999996,-73.97865,1,2,71,0.61,6,304,4.709530201312334
1,13,40.68371,-73.94028,0,2,88,0.73,2,233,4.795790545596741
1,216,40.65599,-73.97519,1,1,19,1.37,2,85,4.110873864173311
2,103,40.867540000000005,-73.92639,1,4,0,1.3732214298586618,1,0,4.394449154672439
2,95,40.76715,-73.98533,0,10,58,0.49,1,75,5.017279836814924
2,103,40.86482,-73.92106,1,3,108,1.11,3,311,3.8066624897703196
2,64,40.7292,-73.98541999999999,0,14,29,0.24,1,67,5.198497031265826
2,94,40.82245,-73.95104,1,3,242,2.04,3,355,3.9318256327243257
2,94,40.81305,-73.95466,1,2,88,1.42,1,255,3.970291913552122
1,91,40.722190000000005,-73.93762,1,4,197,1.65,3,284,4.02535169073515
2,94,40.8213,-73.95318,1,3,273,2.37,3,359,3.9318256327243257
1,13,40.6831,-73.95473,1,1,74,0.66,2,269,4.2626798770413155
1,182,40.668690000000005,-73.9878,1,4,168,1.41,3,340,4.499809670330265
1,28,40.701859999999996,-73.92745,0,2,231,1.96,2,22,4.454347296253507
1,74,40.63702,-73.96327,1,1,0,1.3732214298586618,1,365,5.017279836814924
2,119,40.714009999999995,-73.98917,2,1,214,1.81,4,188,3.713572066704308
2,64,40.7229,-73.98199,1,2,245,2.08,2,96,4.23410650459726
1,182,40.66278,-73.97966,0,3,15,0.39,1,345,4.795790545596741
1,80,40.69673,-73.97584,1,7,25,0.23,1,311,4.795790545596741
2,202,40.79009,-73.97927,1,4,81,0.69,1,273,4.912654885736052
2,94,40.81175,-73.94478000000001,0,7,97,0.84,1,309,5.017279836814924
1,159,40.659440000000004,-73.96238000000001,0,29,11,0.49,1,95,5.017279836814924
3,117,40.74771,-73.9474,1,3,248,2.25,1,215,4.875197323201151
1,13,40.68111,-73.95591,0,7,61,0.52,1,265,4.709530201312334
1,13,40.68554,-73.9409,0,3,11,0.1,1,0,4.7535901911063645
1,80,40.69142,-73.97376,1,3,135,1.16,2,192,4.394449154672439
1,13,40.68043,-73.93934,1,1,112,1.01,3,251,4.394449154672439
2,202,40.78635,-73.97008000000001,0,2,73,0.63,1,302,5.0238805208462765
1,214,40.7042,-73.9356,0,3,82,0.7,1,140,5.43372200355424
1,91,40.73506,-73.95392,0,2,328,2.82,1,234,4.976733742420574
2,112,40.73961,-73.98074,0,7,19,0.22,1,257,5.303304908059076
1,214,40.70881,-73.9593,0,30,105,0.9,1,30,5.017279836814924
2,119,40.720040000000004,-73.99104,1,5,19,0.17,1,301,4.709530201312334
2,95,40.755309999999994,-73.99293,1,2,289,2.49,2,294,4.248495242049359
1,91,40.72401,-73.93788,1,4,138,1.19,3,320,3.912023005428146
2,178,40.7221,-73.99775,0,30,21,0.3,1,154,5.198497031265826
1,214,40.71185,-73.96204,1,2,42,0.38,1,263,4.394449154672439
2,201,40.77065,-73.95269,0,2,66,0.57,2,231,5.5254529391317835
1,158,40.67811,-73.96428,0,30,143,1.33,2,297,5.303304908059076
1,41,40.69,-73.96788000000001,1,7,27,0.23,2,292,4.02535169073515
2,95,40.75979,-73.99119,1,30,191,1.65,1,191,3.970291913552122
1,151,40.673429999999996,-73.98338000000001,0,3,4,0.16,1,0,5.420534999272286
2,64,40.726490000000005,-73.97904,1,1,338,4.72,2,72,4.394449154672439
1,214,40.70933,-73.96791999999999,0,1,148,1.4,1,362,5.62040086571715
2,64,40.72298,-73.98474,1,1,106,1.26,2,336,4.605170185988092
2,61,40.80164,-73.93921999999999,0,4,190,1.64,1,215,5.420534999272286
2,64,40.72162,-73.98008,0,9,49,0.43,1,116,5.442417710521793
2,95,40.76342,-73.98865,1,7,23,0.43,1,88,3.9512437185814275
2,206,40.83139,-73.94095,1,2,49,1.6,2,336,4.189654742026425
1,41,40.68346,-73.96374,1,2,105,0.92,1,304,4.663439094112067
2,64,40.72828,-73.98801,0,5,21,0.2,1,224,5.25227342804663
2,201,40.76865,-73.95058,1,1,142,1.5,1,322,5.303304908059076
3,220,40.75038,-73.90334,1,30,25,0.22,1,324,4.2626798770413155
1,80,40.6932,-73.97267,1,3,143,1.28,1,132,4.564348191467836
2,34,40.74138,-74.00197,1,3,167,1.65,1,295,5.017279836814924
1,214,40.71154,-73.96112,1,3,61,0.54,4,238,4.983606621708336
2,94,40.82915,-73.95136,0,31,54,0.49,1,209,4.709530201312334
2,119,40.718509999999995,-73.98892,0,5,70,0.62,1,328,5.655991810819852
1,74,40.65401,-73.96323000000001,0,6,16,0.15,1,38,4.875197323201151
2,119,40.7114,-73.98794000000001,1,30,94,0.84,1,188,4.553876891600541
1,25,40.69723,-73.99268000000001,0,1,25,0.24,1,7,6.68586094706836
1,214,40.71833,-73.95748,0,3,61,0.53,1,272,4.663439094112067
2,64,40.72334,-73.9844,1,3,194,1.73,1,26,4.110873864173311
2,64,40.72912,-73.98057,1,1,2,0.05,1,0,3.9318256327243257
1,214,40.71156,-73.96218,1,3,174,1.54,4,288,4.454347296253507
1,28,40.70032,-73.9383,1,4,24,0.28,1,317,4.189654742026425
1,158,40.68233,-73.97261,0,4,166,3.4,1,207,4.882801922586371
1,41,40.68634,-73.96600000000001,1,7,16,0.2,6,185,4.59511985013459
1,158,40.68035,-73.97162,0,7,21,0.3,1,158,5.5254529391317835
1,214,40.70984,-73.95775,0,5,168,1.57,1,0,4.61512051684126
1,28,40.70093,-73.92609,0,3,118,1.05,2,9,4.663439094112067
2,202,40.79764,-73.96177,0,3,81,0.71,1,198,4.948759890378168
2,94,40.82803,-73.94731,1,1,1,0.11,1,365,4.499809670330265
2,34,40.74008,-74.00271,1,30,30,0.27,2,364,4.59511985013459
1,13,40.684129999999996,-73.92357,0,7,139,1.23,2,311,4.836281906951478
2,94,40.822790000000005,-73.95139,1,3,11,0.87,3,219,4.110873864173311
1,31,40.67967,-74.00154,0,2,233,2.09,3,342,5.170483995038151
2,206,40.83927,-73.94281,1,2,68,0.6,1,312,4.189654742026425
2,209,40.730959999999996,-74.00319,0,4,46,0.55,2,243,6.2166061010848646
1,214,40.71332,-73.94176999999999,1,3,335,3.02,1,152,4.624972813284271
1,151,40.66941,-73.98109000000001,0,30,88,0.79,1,9,5.3981627015177525
1,214,40.71459,-73.94844,0,30,29,0.4,1,222,4.394449154672439
2,94,40.8092,-73.94421,1,2,170,1.61,1,346,4.61512051684126
1,85,40.68157,-73.98989,0,30,19,0.2,1,208,5.303304908059076
2,95,40.75527,-73.99291,1,2,334,3.0,2,279,4.0943445622221
1,41,40.68698,-73.96571999999999,1,2,19,0.2,6,250,4.836281906951478
2,64,40.7288,-73.98192,0,7,12,0.13,1,164,4.948759890378168
1,182,40.66853,-73.98912,0,30,467,4.22,2,192,4.795790545596741
2,64,40.7254,-73.98156999999999,0,2,7,0.06,4,298,5.860786223465865
2,112,40.742940000000004,-73.98009,0,5,38,0.38,1,260,5.298317366548036
1,214,40.71942,-73.95748,0,3,324,3.01,1,107,5.786897381366708
2,202,40.77823,-73.97636999999999,0,6,27,0.27,1,199,5.4638318050256105
2,64,40.72555,-73.97965,0,1,115,1.05,4,299,5.420534999272286
1,182,40.66831,-73.98604,1,2,354,3.2,3,20,4.605170185988092
2,94,40.82754,-73.94919,0,2,195,2.03,1,318,5.14166355650266
1,182,40.66499,-73.97925,0,2,16,0.24,2,216,5.993961427306569
2,202,40.778420000000004,-73.97556,0,7,13,0.12,1,224,5.14166355650266
2,64,40.72245,-73.98527,0,4,25,0.23,1,0,4.61512051684126
1,159,40.65593,-73.96053,1,2,9,0.08,1,324,4.330733340286331
1,214,40.719229999999996,-73.96468,1,1,9,0.08,1,245,4.51085950651685
2,201,40.778,-73.94821999999999,0,5,21,0.19,1,189,5.017279836814924
2,206,40.85879,-73.93128,1,15,36,0.33,1,307,4.454347296253507
1,13,40.68332,-73.9547,1,3,63,0.58,2,310,4.2626798770413155
2,94,40.816179999999996,-73.94894000000001,0,3,155,1.42,3,213,4.795790545596741
1,41,40.68414,-73.96351,1,3,260,2.35,1,278,4.499809670330265
2,64,40.72392,-73.99143000000001,0,5,73,0.66,1,209,5.225746673713202
1,91,40.73494,-73.9503,1,3,193,1.86,1,0,3.9318256327243257
2,119,40.713409999999996,-73.98855999999999,0,3,32,0.29,1,16,4.663439094112067
2,95,40.767540000000004,-73.98399,1,2,50,0.45,3,234,4.875197323201151
2,209,40.73442,-74.00303000000001,0,29,26,0.25,1,12,4.7535901911063645
1,76,40.631879999999995,-73.93248,1,2,2,0.02,1,178,4.356708826689592
1,41,40.6873,-73.9634,1,2,426,3.89,3,275,4.343805421853684
1,13,40.682959999999994,-73.93661999999999,0,3,227,2.09,2,163,4.836281906951478
1,41,40.6863,-73.96765,1,4,84,0.77,3,365,4.912654885736052
1,91,40.73409,-73.95348,0,29,3,0.03,1,34,5.5254529391317835
1,214,40.71561,-73.94835,0,3,10,0.1,1,280,5.298317366548036
1,43,40.6857,-73.99183000000001,0,2,4,0.04,1,0,4.948759890378168
3,77,40.74028,-73.83168,1,2,1,0.01,1,1,4.948759890378168
1,13,40.682809999999996,-73.93524000000001,0,3,124,1.72,2,170,4.7535901911063645
1,214,40.715959999999995,-73.93938,0,3,11,0.11,1,188,5.081404364984463
1,214,40.71492,-73.95935,0,4,240,2.19,1,214,5.278114659230517
2,64,40.72354,-73.98295,0,3,30,0.28,1,248,5.278114659230517
1,214,40.71165,-73.96087,1,3,200,1.86,4,262,4.394449154672439
1,80,40.69101,-73.97312,1,8,27,1.05,5,280,3.8066624897703196
2,209,40.73474,-74.00101,1,4,79,0.74,1,307,5.056245805348308
1,158,40.67386,-73.96641,1,15,9,0.09,1,339,4.454347296253507
1,214,40.71536,-73.96056999999999,1,3,155,1.61,1,1,4.836281906951478
1,158,40.6741,-73.96595,0,15,4,0.05,1,269,4.7535901911063645
2,61,40.79295,-73.93997,1,2,34,0.32,1,10,4.248495242049359
1,214,40.71363,-73.96398,0,6,27,0.25,1,189,4.836281906951478
2,201,40.77711,-73.9527,0,4,126,1.16,2,290,5.393627546352362
1,19,40.685590000000005,-73.98094,0,3,23,0.27,1,230,6.16541785423142
2,201,40.77456,-73.95323,0,1,234,2.6,2,164,4.605170185988092
1,214,40.710879999999996,-73.95055,1,4,202,1.86,2,53,4.248495242049359
3,189,40.74559,-73.92313,1,30,28,0.26,1,126,4.382026634673881
1,13,40.68306,-73.94659,0,2,309,2.86,2,3,4.912654885736052
1,53,40.70207,-73.98571,1,3,14,0.13,1,189,5.5254529391317835
2,201,40.76123,-73.9642,0,3,4,0.08,1,365,5.5254529391317835
1,85,40.66858,-73.99083,0,2,80,2.17,1,0,5.5254529391317835
2,94,40.827040000000004,-73.94906999999999,0,3,2,0.04,1,0,4.394449154672439
1,41,40.68843,-73.96408000000001,1,2,294,3.47,3,336,4.2626798770413155
1,31,40.6783,-74.00135,0,2,150,1.4,3,342,5.111987788356544
4,186,40.64524,-74.08088000000001,1,2,166,1.66,1,312,4.2626798770413155
1,28,40.70641,-73.91765,1,2,47,0.94,1,37,3.9318256327243257
0,96,40.83232,-73.93184000000001,1,1,219,2.04,3,353,3.713572066704308
1,214,40.71045,-73.9677,0,2,193,1.78,1,177,5.017279836814924
2,64,40.72518,-73.98034,1,1,84,0.78,4,310,4.836281906951478
2,73,40.70666,-74.01374,0,3,114,1.06,1,0,5.2832037287379885
1,80,40.690979999999996,-73.97113,1,2,213,2.0,2,321,4.709530201312334
2,209,40.737559999999995,-74.00405,0,3,86,0.8,1,246,5.14166355650266
2,94,40.815259999999995,-73.94791,0,3,80,0.75,3,231,5.111987788356544
2,209,40.73423,-74.0046,0,26,38,0.36,1,225,5.017279836814924
2,94,40.82374,-73.9373,0,2,18,1.79,1,0,4.61512051684126
1,80,40.688629999999996,-73.97691,1,2,206,1.92,2,0,4.189654742026425
3,166,40.70382,-73.89797,0,8,10,0.11,5,365,5.860786223465865
